0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
0,10,10
0,11,11
0,12,12
0,13,13
0,14,14
0,15,15
1,0,2
1,1,3
1,2,4
1,3,5
1,4,6
1,5,7
1,6,8
1,7,9
1,8,10
1,9,11
1,10,12
1,11,13
1,12,14
1,13,15
1,14,16
1,15,31
2,0,4
2,1,5
2,2,6
2,3,7
2,4,8
2,5,9
2,6,10
2,7,11
2,8,12
2,9,13
2,10,14
2,11,15
2,12,16
2,13,17
2,14,30
2,15,32
3,0,6
3,1,7
3,2,8
3,3,9
3,4,10
3,5,11
3,6,12
3,7,13
3,8,14
3,9,15
3,10,16
3,11,17
3,12,18
3,13,29
3,14,31
3,15,33
4,0,8
4,1,9
4,2,10
4,3,11
4,4,12
4,5,13
4,6,14
4,7,15
4,8,16
4,9,17
4,10,18
4,11,19
4,12,28
4,13,30
4,14,32
4,15,34
5,0,10
5,1,11
5,2,12
5,3,13
5,4,14
5,5,15
5,6,16
5,7,17
5,8,18
5,9,19
5,10,20
5,11,27
5,12,29
5,13,31
5,14,33
5,15,35
6,0,12
6,1,13
6,2,14
6,3,15
6,4,16
6,5,17
6,6,18
6,7,19
6,8,20
6,9,21
6,10,26
6,11,28
6,12,30
6,13,32
6,14,34
6,15,36
7,0,14
7,1,15
7,2,16
7,3,17
7,4,18
7,5,19
7,6,20
7,7,21
7,8,22
7,9,25
7,10,27
7,11,29
7,12,31
7,13,33
7,14,35
7,15,37
8,0,16
8,1,17
8,2,18
8,3,19
8,4,20
8,5,21
8,6,22
8,7,23
8,8,24
8,9,26
8,10,28
8,11,30
8,12,32
8,13,34
8,14,36
8,15,38
9,0,18
9,1,19
9,2,20
9,3,21
9,4,22
9,5,23
9,6,24
9,7,23
9,8,25
9,9,27
9,10,29
9,11,31
9,12,33
9,13,35
9,14,37
9,15,39
10,0,20
10,1,21
10,2,22
10,3,23
10,4,24
10,5,25
10,6,22
10,7,24
10,8,26
10,9,28
10,10,30
10,11,32
10,12,34
10,13,36
10,14,38
10,15,40
11,0,22
11,1,23
11,2,24
11,3,25
11,4,26
11,5,21
11,6,23
11,7,25
11,8,27
11,9,29
11,10,31
11,11,33
11,12,35
11,13,37
11,14,39
11,15,41
12,0,24
12,1,25
12,2,26
12,3,27
12,4,20
12,5,22
12,6,24
12,7,26
12,8,28
12,9,30
12,10,32
12,11,34
12,12,36
12,13,38
12,14,40
12,15,42
13,0,26
13,1,27
13,2,28
13,3,19
13,4,21
13,5,23
13,6,25
13,7,27
13,8,29
13,9,31
13,10,33
13,11,35
13,12,37
13,13,39
13,14,41
13,15,43
14,0,28
14,1,29
14,2,18
14,3,20
14,4,22
14,5,24
14,6,26
14,7,28
14,8,30
14,9,32
14,10,34
14,11,36
14,12,38
14,13,40
14,14,42
14,15,44
15,0,30
15,1,17
15,2,19
15,3,21
15,4,23
15,5,25
15,6,27
15,7,29
15,8,31
15,9,33
15,10,35
15,11,37
15,12,39
15,13,41
15,14,43
15,15,45
